Location,Price,Bedrooms,Bathrooms,Area
"Rasdia Mouza, Uttara",8500000,3,3,1268
"Section 1, Mirpur",8400000,3,3,1200
"Kathal Bagan Sonargaon Road, Hatirpool",11500000,3,4,1450
"Block B, Bashundhara R-A",26000000,4,4,2500
"Block I, Bashundhara R-A",27000000,4,4,2370
"Uttar Badda, Badda",10500000,3,3,1456
"Mohakhali Bazar Road, Mohakhali",4000000,2,2,700
"Sector 4, Uttara",16300000,3,3,1365
"Nadda Kacha Bazar Road, Nadda",12675000,4,4,1950
"North Khulshi, Khulshi",65000000,4,5,3900
"Block D, Niketan",11000000,2,2,778
"Section 15, Mirpur",8840000,2,2,1005
"Gulshan 2, Gulshan",118000000,4,4,4000
"Purba Jurain, Shyampur",8815000,4,3,1695
"Purba Jurain, Shyampur",5400000,3,2,1140
"Doctor Goli, Maghbazar",15500000,3,4,1685
"Mohakhali Bazar Road, Mohakhali",4500000,2,2,770
"Nasirabad, 15 No. Bagmoniram Ward",30800000,4,5,3000
"North Circular Road, Dhanmondi",7500000,2,2,800
"East Kazipara, Mirpur",10101600,3,3,1403
"Vashantek, Cantonment",9500000,4,4,1800
"Shagufta New Road, Mirpur",10959000,3,3,1405
"Shagufta New Road, Mirpur",11349000,3,3,1455
"Kallyanpur, Mirpur",9400000,3,3,1265
